Country,City,PM2.5,Latitude,Longitude,sensorType,Date
Azerbaijan,Baku,14.0,40.386992,49.842946,reference grade,2024-06-28T07:00:00+00:00
Azerbaijan,Baku,16.0,40.386992,49.842946,reference grade,2024-06-28T06:00:00+00:00
Azerbaijan,Baku,17.0,40.386992,49.842946,reference grade,2024-06-28T05:00:00+00:00
Azerbaijan,Baku,12.0,40.386992,49.842946,reference grade,2024-06-28T04:00:00+00:00
Azerbaijan,Baku,6.0,40.386992,49.842946,reference grade,2024-06-28T03:00:00+00:00
Azerbaijan,Baku,6.0,40.386992,49.842946,reference grade,2024-06-28T02:00:00+00:00
Azerbaijan,Baku,3.0,40.386992,49.842946,reference grade,2024-06-28T01:00:00+00:00
Azerbaijan,Baku,4.0,40.386992,49.842946,reference grade,2024-06-28T00:00:00+00:00
Azerbaijan,Baku,6.0,40.386992,49.842946,reference grade,2024-06-27T23:00:00+00:00
Azerbaijan,Baku,10.0,40.386992,49.842946,reference grade,2024-06-27T22:00:00+00:00
Azerbaijan,Baku,5.0,40.386992,49.842946,reference grade,2024-06-27T21:00:00+00:00
Azerbaijan,Baku,0.0,40.386992,49.842946,reference grade,2024-06-27T20:00:00+00:00
Azerbaijan,Baku,28.0,40.386992,49.842946,reference grade,2024-06-27T19:00:00+00:00
